Group,Group number,Answer,Vote count,Vote percentage [%],GroupVote count,Answer percentage [%]
"Artificial Intelligence, Digital Transformation Data Science, Automation, Machine Learning Analytics (https://www.linkedin.com/groups/4376214/)",Group 6,"Screenshot plots, add to PPT",3,25.0,12,0.2
"AI & ML  - Analytics , Data Science  .  SAP BI/ Analytics Cloud /Tableau /Power BI /Birst (https://www.linkedin.com/groups/1859449/)",Group 5,"Screenshot plots, add to PPT",19,35.8,53,1.5
Python Developers Community (moderated) (https://www.linkedin.com/groups/25827/),Group 4,"Screenshot plots, add to PPT",173,37.1,466,13.4
"Data Scientist, Data Analyst and Data Engineer (https://www.linkedin.com/groups/6773411/)",Group 3,"Screenshot plots, add to PPT",42,44.7,94,3.2
Data Science community (moderated) (https://www.linkedin.com/groups/3063585/),Group 2,"Screenshot plots, add to PPT",294,45.1,652,22.7
Personal profile,Group 1,"Screenshot plots, add to PPT",12,66.7,18,0.9
"Artificial Intelligence, Digital Transformation Data Science, Automation, Machine Learning Analytics (https://www.linkedin.com/groups/4376214/)",Group 6,Add to Jupyter Slideshow,5,41.7,12,0.4
"AI & ML  - Analytics , Data Science  .  SAP BI/ Analytics Cloud /Tableau /Power BI /Birst (https://www.linkedin.com/groups/1859449/)",Group 5,Add to Jupyter Slideshow,22,41.5,53,1.7
Python Developers Community (moderated) (https://www.linkedin.com/groups/25827/),Group 4,Add to Jupyter Slideshow,170,36.5,466,13.1
"Data Scientist, Data Analyst and Data Engineer (https://www.linkedin.com/groups/6773411/)",Group 3,Add to Jupyter Slideshow,26,27.7,94,2.0
Data Science community (moderated) (https://www.linkedin.com/groups/3063585/),Group 2,Add to Jupyter Slideshow,197,30.2,652,15.2
Personal profile,Group 1,Add to Jupyter Slideshow,5,27.8,18,0.4
"Artificial Intelligence, Digital Transformation Data Science, Automation, Machine Learning Analytics (https://www.linkedin.com/groups/4376214/)",Group 6,Show the notebook as it is,3,25.0,12,0.2
"AI & ML  - Analytics , Data Science  .  SAP BI/ Analytics Cloud /Tableau /Power BI /Birst (https://www.linkedin.com/groups/1859449/)",Group 5,Show the notebook as it is,10,18.9,53,0.8
Python Developers Community (moderated) (https://www.linkedin.com/groups/25827/),Group 4,Show the notebook as it is,81,17.4,466,6.3
"Data Scientist, Data Analyst and Data Engineer (https://www.linkedin.com/groups/6773411/)",Group 3,Show the notebook as it is,18,19.1,94,1.4
Data Science community (moderated) (https://www.linkedin.com/groups/3063585/),Group 2,Show the notebook as it is,113,17.3,652,8.7
Personal profile,Group 1,Show the notebook as it is,1,5.6,18,0.1
"Artificial Intelligence, Digital Transformation Data Science, Automation, Machine Learning Analytics (https://www.linkedin.com/groups/4376214/)",Group 6,Other,1,8.3,12,0.1
"AI & ML  - Analytics , Data Science  .  SAP BI/ Analytics Cloud /Tableau /Power BI /Birst (https://www.linkedin.com/groups/1859449/)",Group 5,Other,2,3.8,53,0.2
Python Developers Community (moderated) (https://www.linkedin.com/groups/25827/),Group 4,Other,42,9.0,466,3.2
"Data Scientist, Data Analyst and Data Engineer (https://www.linkedin.com/groups/6773411/)",Group 3,Other,8,8.5,94,0.6
Data Science community (moderated) (https://www.linkedin.com/groups/3063585/),Group 2,Other,48,7.4,652,3.7
Personal profile,Group 1,Other,0,0.0,18,0.0
